strategy,z_gv_min,z_gv_max,z_gv_abs_gt10_frac,znorm_median,znorm_p99,enabled_fraction,finite_pred_fraction,reject_fraction,failed_gaussian_variance,run_id,git_sha,timestamp,params
direct,-3.2920242138227196,-3.2920242138227196,0.0,11.259269307962075,18095893.923220683,0.0,0.0,1.0,1980,stage0_fidelity_mapping_sensitivity,ab8fe30515d88a09385183e1f0e3b08978c2300c,2026-02-25T22:30:44.491977+00:00,events=220;cohort=full_domain;mapping=direct|clamped_linear|fixed_nominal
clamped_linear,-0.0008761281392505685,-0.0008761281392505685,0.0,10.766900049904432,18095893.923220385,0.012121212121212121,0.0,0.9878787878787879,0,stage0_fidelity_mapping_sensitivity,ab8fe30515d88a09385183e1f0e3b08978c2300c,2026-02-25T22:30:44.491977+00:00,events=220;cohort=full_domain;mapping=direct|clamped_linear|fixed_nominal
fixed_nominal,-0.0008761281392505685,-0.0008761281392505685,0.0,10.766900049904432,18095893.923220385,0.012121212121212121,0.0,0.9878787878787879,0,stage0_fidelity_mapping_sensitivity,ab8fe30515d88a09385183e1f0e3b08978c2300c,2026-02-25T22:30:44.491977+00:00,events=220;cohort=full_domain;mapping=direct|clamped_linear|fixed_nominal
