run_id,git_sha,timestamp,params,scenario,feature_index,feature_name,z_min,z_max,absz_gt10_frac,rows,znorm_median,znorm_p95,znorm_p99,mt_diag_any_absz_gt10_frac,non_mt_any_absz_gt10_frac,pass_criterion_1_median_lt_6,pass_criterion_2_p99_lt_8,pass_criterion_3_no_feat_gt1pct_absz10,overall_pass
stage0_5_mt_magnitude_domain_check,ab8fe30515d88a09385183e1f0e3b08978c2300c,2026-02-25T21:27:47.513727+00:00,n_events=600;seed=11;sensors=all,A_fixed_mw5,0,Lat,-1.0095559738716868,1.0077915205042944,0.0,,,,,,,,,,
stage0_5_mt_magnitude_domain_check,ab8fe30515d88a09385183e1f0e3b08978c2300c,2026-02-25T21:27:47.513727+00:00,n_events=600;seed=11;sensors=all,A_fixed_mw5,1,Lon,-1.855518456529945,1.8580992915968557,0.0,,,,,,,,,,
stage0_5_mt_magnitude_domain_check,ab8fe30515d88a09385183e1f0e3b08978c2300c,2026-02-25T21:27:47.513727+00:00,n_events=600;seed=11;sensors=all,A_fixed_mw5,2,Depth,-2.2238969455323785,1.578147385521321,0.0,,,,,,,,,,
stage0_5_mt_magnitude_domain_check,ab8fe30515d88a09385183e1f0e3b08978c2300c,2026-02-25T21:27:47.513727+00:00,n_events=600;seed=11;sensors=all,A_fixed_mw5,3,Distance_to_source_km,-2.713247427735034,0.7854445096513145,0.0,,,,,,,,,,
stage0_5_mt_magnitude_domain_check,ab8fe30515d88a09385183e1f0e3b08978c2300c,2026-02-25T21:27:47.513727+00:00,n_events=600;seed=11;sensors=all,A_fixed_mw5,4,Gaussian_variance,-3.2920242138227196,-3.2920242138227196,0.0,,,,,,,,,,
stage0_5_mt_magnitude_domain_check,ab8fe30515d88a09385183e1f0e3b08978c2300c,2026-02-25T21:27:47.513727+00:00,n_events=600;seed=11;sensors=all,A_fixed_mw5,5,m_rr,0.0794632875186073,0.0794632875186073,0.0,,,,,,,,,,
stage0_5_mt_magnitude_domain_check,ab8fe30515d88a09385183e1f0e3b08978c2300c,2026-02-25T21:27:47.513727+00:00,n_events=600;seed=11;sensors=all,A_fixed_mw5,6,m_tt,2.7979623324327827,2.7979623324327827,0.0,,,,,,,,,,
stage0_5_mt_magnitude_domain_check,ab8fe30515d88a09385183e1f0e3b08978c2300c,2026-02-25T21:27:47.513727+00:00,n_events=600;seed=11;sensors=all,A_fixed_mw5,7,m_pp,2.7145759926795496,2.7145759926795496,0.0,,,,,,,,,,
stage0_5_mt_magnitude_domain_check,ab8fe30515d88a09385183e1f0e3b08978c2300c,2026-02-25T21:27:47.513727+00:00,n_events=600;seed=11;sensors=all,A_fixed_mw5,8,m_rt,0.0002415726063295915,0.0002415726063295915,0.0,,,,,,,,,,
stage0_5_mt_magnitude_domain_check,ab8fe30515d88a09385183e1f0e3b08978c2300c,2026-02-25T21:27:47.513727+00:00,n_events=600;seed=11;sensors=all,A_fixed_mw5,9,m_rp,-0.001367542094045099,-0.001367542094045099,0.0,,,,,,,,,,
